Transaction_ID,Customer_ID,Item_ID,Date,Rating,Payment_Method,Amount,Total_Purchases,Total_Amount_EGP,Customer_Name,Customer_Email,Country,Age,Gender,Product_Category,Product_Type,Product_Brand
TXN000001,CUST001,ITEM006,1723235379.715988,5,Mobile Payment,1761.41,7,12329.87,Norma Fisher,cust001@gmail.com,Egypt,62,Female,Electronics,Television,Samsung
TXN000002,CUST001,ITEM008,1719426431.718145,5,Credit Card,1247.17,4,4988.68,Norma Fisher,cust001@gmail.com,Egypt,62,Female,Books,Fiction,Penguin Books
TXN000003,CUST001,ITEM062,1669192259.718413,5,Cash,581.37,5,2906.85,Norma Fisher,cust001@gmail.com,Egypt,62,Female,Meat,Chicken,Panda
TXN000004,CUST001,ITEM057,1704458372.718614,1,Cash,784.38,7,5490.66,Norma Fisher,cust001@gmail.com,Egypt,62,Female,Pharmacy,Healthcare,Egyptian Pharmaceutical
TXN000005,CUST001,ITEM079,1686270702.718752,4,Cash,1816.67,8,14533.36,Norma Fisher,cust001@gmail.com,Egypt,62,Female,Household,Home Appliances,Siemens
TXN000006,CUST001,ITEM092,1702773142.718878,3,Credit Card,162.21,7,1135.47,Norma Fisher,cust001@gmail.com,Egypt,62,Female,Grocery,Ketchup,Heinz
TXN000007,CUST001,ITEM081,1720167424.719007,5,Mobile Payment,1040.05,8,8320.4,Norma Fisher,cust001@gmail.com,Egypt,62,Female,Beauty,Makeup,LOreal
TXN000008,CUST001,ITEM031,1730966506.719128,5,Mobile Payment,383.23,8,3065.84,Norma Fisher,cust001@gmail.com,Egypt,62,Female,Clothing,T-shirt,Adidas
TXN000009,CUST001,ITEM060,1683182786.719272,3,Cash,16.17,6,97.02000000000001,Norma Fisher,cust001@gmail.com,Egypt,62,Female,Pharmacy,Shampoo,Herbel Essence
TXN000010,CUST001,ITEM020,1713012393.719423,5,Cash,1959.26,5,9796.3,Norma Fisher,cust001@gmail.com,Egypt,62,Female,Electronics,Smartphone,Apple
TXN000011,CUST001,ITEM002,1682340487.719563,3,Credit Card,135.78,9,1222.02,Norma Fisher,cust001@gmail.com,Egypt,62,Female,Clothing,T-shirt,Nike
TXN000012,CUST001,ITEM041,1670202071.719706,4,Cash,1782.4,4,7129.6,Norma Fisher,cust001@gmail.com,Egypt,62,Female,Home Appliances,Bathroom,Bed Bath & Beyond
TXN000013,CUST001,ITEM087,1675413793.719827,4,Mobile Payment,1941.28,9,17471.52,Norma Fisher,cust001@gmail.com,Egypt,62,Female,Beauty,Haircare,Dove
TXN000014,CUST001,ITEM061,1710984387.719944,1,Cash,1308.09,2,2616.18,Norma Fisher,cust001@gmail.com,Egypt,62,Female,Pharmacy,Healthcare,Herbel Essence
TXN000015,CUST001,ITEM095,1685536839.720071,1,Mobile Payment,710.27,4,2841.08,Norma Fisher,cust001@gmail.com,Egypt,62,Female,Kitchen,Household,Procter & Gamble
TXN000016,CUST001,ITEM040,1703396771.720189,5,Credit Card,540.73,1,540.73,Norma Fisher,cust001@gmail.com,Egypt,62,Female,Home Appliances,Bedding,Bed Bath & Beyond
